decision_id,option_id,option_label,option_description,pros,cons,implementation_notes,recommended_default,blocks_apply_if_unresolved
availability_schema_policy,availability_condition_set,one row per selectable + condition_set_id,Compile variant scopes into condition sets.,Can reduce duplication and match rule-driven schemas.,Requires condition-set generation decisions.,Do not synthesize until condition schema is stable.,,yes
availability_schema_policy,availability_hybrid,hybrid variant matrix compiled into condition sets later,Keep variant rows now and compile later.,Preserves evidence while allowing later optimization.,Adds a later migration step.,Good bridge if schema is unsettled.,,yes
availability_schema_policy,availability_selectable_variant,one row per selectable + variant_id,Represent availability as explicit variant-scoped rows.,Matches current confident subset shape.,May be verbose; may not match final condition-set model.,Preserve available/standard/not_available only.,conservative_starting_point,yes
first_apply_boundary,boundary_confident_apply_prototype,proceed later with confident subset apply prototype,Future pass applies only approved confident subset tables after schema decisions.,Narrow and testable.,"Still requires ID, UI, availability, and source-ref decisions first.",No current apply is authorized.,,yes
first_apply_boundary,boundary_defer_full_schema,defer apply until full schema/datapackage exists,Wait for schema and datapackage stability.,Lowest apply risk.,Delays import value.,Use if target tables remain incomplete.,,no
first_apply_boundary,boundary_reconciliation_first,produce reconciliation report against canonical CSV first,Compare confident subset to current canonical rows before any apply.,Reduces duplicate/conflicting canonical writes.,Adds one read-only pass.,Best next step if canonical data already has overlapping content.,conservative_starting_point,no
proposal_metadata_policy,metadata_archive_only,keep only in generated proposal archive,Retain metadata in ignored/generated packet outputs only.,No canonical schema impact.,Requires generated archive availability for future audit.,Good if canonical governance is deferred.,,no
proposal_metadata_policy,metadata_change_log,preserve in change_log/provenance table,Map metadata to a future provenance or change log table.,Useful for future audits.,Needs table/schema decision.,Do not implement until schema is explicit.,,yes
proposal_metadata_policy,metadata_drop_after_apply,drop after apply,Do not carry proposal_status/review_status/filter metadata into canonical CSVs.,Keeps canonical business data clean.,Review history must live elsewhere.,Pair with generated archive retention.,,no
proposal_metadata_policy,metadata_import_audit,preserve in import audit metadata,"Store proposal metadata in audit/provenance outputs, not business tables.",Traceable and avoids canonical pollution.,Requires audit retention convention.,Conservative default for this pipeline.,conservative_starting_point,no
section_mapping_policy,section_broad_placeholder,map section_family to broad placeholder sections,Use importer section families as temporary broad UI sections.,Fastest path to a prototype review.,Not final UI taxonomy; can hide category nuance.,Clearly mark as provisional if used.,,yes
section_mapping_policy,section_defer,defer finer UI mapping until app schema is stable,Keep section_family as proposal evidence only.,Avoids premature UI schema decisions.,Blocks canonical UI apply.,Useful if schema-refactor is still moving.,,yes
section_mapping_policy,section_import_map,use import map for section_family to section_id/step_id,Create explicit mapping config before apply.,Reviewable and repeatable.,Requires human taxonomy decisions first.,Preferred once target UI schema is stable.,conservative_starting_point,yes
selectable_id_policy,selectable_id_manual,manually assign IDs during apply,Human assigns canonical IDs during a future apply/reconciliation pass.,Maximum control for first import.,Slower and harder to repeat automatically.,Use for small reviewed slices or conflicts.,,yes
selectable_id_policy,selectable_id_model_rpo,derive from model_key + rpo + disambiguator,"Create canonical IDs from model scope, orderable RPO, and a deterministic disambiguator when needed.",Readable and reviewable; keeps model-specific collisions visible.,Needs collision policy and reconciliation against existing canonical IDs.,Use only after a human-approved ID format.,conservative_starting_point,yes
selectable_id_policy,selectable_id_reconcile_existing,use existing canonical IDs when reconciling against data/stingray,Match proposal evidence to existing IDs before minting new IDs.,Reduces duplicate canonical rows.,Requires a separate reconciliation report.,Best paired with a read-only canonical comparison pass.,,yes
selectable_id_policy,selectable_id_source_hash,derive from stable source hash,Use source evidence to create deterministic IDs.,Stable across reruns if evidence is stable.,Less readable and can churn if source references change.,Hash inputs must be documented before use.,,yes
source_refs_policy,source_refs_canonical_rows,canonical meta/source_refs.csv row per source cell/field,Promote row-level source refs into canonical governance table.,Strong traceability.,Requires canonical source_refs schema.,Use only after schema exists.,,yes
source_refs_policy,source_refs_import_only,keep proposal source refs as import-only evidence,Archive generated source refs with proposals instead of canonical tables.,Avoids schema churn.,Canonical rows lose direct row-level provenance unless copied elsewhere.,Acceptable only if archive retention is approved.,,yes
source_refs_policy,source_refs_member_table,source_ref member table linking canonical rows to source refs,Keep source refs normalized and link many refs to one canonical row.,Avoids pipe-delimited source_ref_ids.,Requires an additional relation table decision.,Good if multiple source cells support one canonical row.,conservative_starting_point,yes
