staging_file,source_sheet,model_key,footnote_scope,footnote_refs,count
color_trim_compatibility_rows,Color and Trim 1,<blank>,interior_color_header,1,10
color_trim_compatibility_rows,Color and Trim 1,<blank>,interior_color_header,2,20
color_trim_compatibility_rows,Color and Trim 1,<blank>,interior_color_header,3,10
color_trim_compatibility_rows,Color and Trim 1,<blank>,interior_color_header,4,10
color_trim_interior_rows,Color and Trim 1,<blank>,interior_color_header,1,6
color_trim_interior_rows,Color and Trim 1,<blank>,interior_color_header,2,11
color_trim_interior_rows,Color and Trim 1,<blank>,interior_color_header,3,1
color_trim_interior_rows,Color and Trim 1,<blank>,interior_color_header,4,2
color_trim_interior_rows,Color and Trim 1,<blank>,interior_rpo,6,2
color_trim_interior_rows,Color and Trim 1,<blank>,interior_rpo,8,1
color_trim_interior_rows,Color and Trim 1,<blank>,seat_trim,5,5
color_trim_interior_rows,Color and Trim 1,<blank>,seat_trim,7,8
color_trim_interior_rows,Color and Trim 2,<blank>,interior_rpo,1,1
color_trim_interior_rows,Color and Trim 2,<blank>,interior_rpo,3,1
color_trim_interior_rows,Color and Trim 2,<blank>,seat_trim,2,4
variant_matrix_rows,Exterior 1,stingray,status_cell,1,334
variant_matrix_rows,Exterior 1,stingray,status_cell,2,9
variant_matrix_rows,Exterior 2,grand_sport,status_cell,1,336
variant_matrix_rows,Exterior 2,grand_sport,status_cell,2,21
variant_matrix_rows,Exterior 3,z06,status_cell,1,322
variant_matrix_rows,Exterior 3,z06,status_cell,2,9
variant_matrix_rows,Exterior 4,zr1,status_cell,1,128
variant_matrix_rows,Exterior 4,zr1x,status_cell,1,120
variant_matrix_rows,Exterior 4,zr1x,status_cell,2,8
variant_matrix_rows,Interior 1,stingray,status_cell,1,153
variant_matrix_rows,Interior 1,stingray,status_cell,2,18
variant_matrix_rows,Interior 1,stingray,status_cell,3,4
variant_matrix_rows,Interior 2,grand_sport,status_cell,1,153
variant_matrix_rows,Interior 2,grand_sport,status_cell,2,18
variant_matrix_rows,Interior 2,grand_sport,status_cell,3,4
variant_matrix_rows,Interior 3,z06,status_cell,1,157
variant_matrix_rows,Interior 3,z06,status_cell,2,18
variant_matrix_rows,Interior 3,z06,status_cell,3,2
variant_matrix_rows,Interior 4,zr1,status_cell,1,112
variant_matrix_rows,Interior 4,zr1,status_cell,2,8
variant_matrix_rows,Interior 4,zr1x,status_cell,1,112
variant_matrix_rows,Interior 4,zr1x,status_cell,2,8
variant_matrix_rows,Mechanical 1,stingray,status_cell,1,99
variant_matrix_rows,Mechanical 1,stingray,status_cell,2,9
variant_matrix_rows,Mechanical 2,grand_sport,status_cell,1,75
variant_matrix_rows,Mechanical 2,grand_sport,status_cell,2,9
variant_matrix_rows,Mechanical 3,z06,status_cell,1,63
variant_matrix_rows,Mechanical 3,z06,status_cell,2,3
variant_matrix_rows,Mechanical 4,zr1,status_cell,1,28
variant_matrix_rows,Mechanical 4,zr1x,status_cell,1,24
variant_matrix_rows,Mechanical 4,zr1x,status_cell,2,4
variant_matrix_rows,Standard Equipment 1,stingray,status_cell,1,77
variant_matrix_rows,Standard Equipment 2,grand_sport,status_cell,1,83
variant_matrix_rows,Standard Equipment 2,grand_sport,status_cell,2,3
variant_matrix_rows,Standard Equipment 3,z06,status_cell,1,62
variant_matrix_rows,Standard Equipment 3,z06,status_cell,2,3
variant_matrix_rows,Standard Equipment 4,zr1,status_cell,1,36
variant_matrix_rows,Standard Equipment 4,zr1x,status_cell,1,32
