source_sheet,section_role,section_index,start_row,end_row,header_row,data_start_row,data_end_row,guide_family,model_key,scope_type,confidence,notes
Price Schedule,price_block,1,1,306,2,3,306,corvette,,model_global,medium,High-level price block; staging evidence only.
Standard Equipment 1,header_or_legend,1,1,3,0,1,3,corvette,,metadata,high,Rows before and including matrix header.
Standard Equipment 1,variant_matrix,2,4,82,3,4,82,corvette,,variant_scoped,high,Primary variant availability matrix.
Standard Equipment 2,header_or_legend,1,1,3,0,1,3,corvette,,metadata,high,Rows before and including matrix header.
Standard Equipment 2,variant_matrix,2,4,85,3,4,85,corvette,,variant_scoped,high,Primary variant availability matrix.
Standard Equipment 3,header_or_legend,1,1,3,0,1,3,corvette,,metadata,high,Rows before and including matrix header.
Standard Equipment 3,variant_matrix,2,4,85,3,4,85,corvette,,variant_scoped,high,Primary variant availability matrix.
Standard Equipment 4,header_or_legend,1,1,3,0,1,3,corvette,,metadata,high,Rows before and including matrix header.
Standard Equipment 4,variant_matrix,2,4,88,3,4,88,corvette,,variant_scoped,high,Primary variant availability matrix.
Equipment Groups 1,header_or_legend,1,1,3,0,1,3,corvette,,metadata,high,Rows before and including derived matrix header.
Equipment Groups 1,derived_equipment_summary,2,4,175,3,4,175,corvette,,derived_cross_check,high,Equipment Groups derived/cross-check rows only.
Equipment Groups 2,header_or_legend,1,1,3,0,1,3,corvette,,metadata,high,Rows before and including derived matrix header.
Equipment Groups 2,derived_equipment_summary,2,4,174,3,4,174,corvette,,derived_cross_check,high,Equipment Groups derived/cross-check rows only.
Equipment Groups 3,header_or_legend,1,1,3,0,1,3,corvette,,metadata,high,Rows before and including derived matrix header.
Equipment Groups 3,derived_equipment_summary,2,4,177,3,4,177,corvette,,derived_cross_check,high,Equipment Groups derived/cross-check rows only.
Equipment Groups 4,header_or_legend,1,1,3,0,1,3,corvette,,metadata,high,Rows before and including derived matrix header.
Equipment Groups 4,derived_equipment_summary,2,4,144,3,4,144,corvette,,derived_cross_check,high,Equipment Groups derived/cross-check rows only.
Interior 1,header_or_legend,1,1,3,0,1,3,corvette,,metadata,high,Rows before and including matrix header.
Interior 1,variant_matrix,2,4,100,3,4,100,corvette,,variant_scoped,high,Primary variant availability matrix.
Interior 2,header_or_legend,1,1,3,0,1,3,corvette,,metadata,high,Rows before and including matrix header.
Interior 2,variant_matrix,2,4,100,3,4,100,corvette,,variant_scoped,high,Primary variant availability matrix.
Interior 3,header_or_legend,1,1,3,0,1,3,corvette,,metadata,high,Rows before and including matrix header.
Interior 3,variant_matrix,2,4,104,3,4,104,corvette,,variant_scoped,high,Primary variant availability matrix.
Interior 4,header_or_legend,1,1,3,0,1,3,corvette,,metadata,high,Rows before and including matrix header.
Interior 4,variant_matrix,2,4,104,3,4,104,corvette,,variant_scoped,high,Primary variant availability matrix.
Exterior 1,header_or_legend,1,1,3,0,1,3,corvette,,metadata,high,Rows before and including matrix header.
Exterior 1,variant_matrix,2,4,105,3,4,105,corvette,,variant_scoped,high,Primary variant availability matrix.
Exterior 2,header_or_legend,1,1,3,0,1,3,corvette,,metadata,high,Rows before and including matrix header.
Exterior 2,variant_matrix,2,4,104,3,4,104,corvette,,variant_scoped,high,Primary variant availability matrix.
Exterior 3,header_or_legend,1,1,3,0,1,3,corvette,,metadata,high,Rows before and including matrix header.
Exterior 3,variant_matrix,2,4,104,3,4,104,corvette,,variant_scoped,high,Primary variant availability matrix.
Exterior 4,header_or_legend,1,1,3,0,1,3,corvette,,metadata,high,Rows before and including matrix header.
Exterior 4,variant_matrix,2,4,74,3,4,74,corvette,,variant_scoped,high,Primary variant availability matrix.
Mechanical 1,header_or_legend,1,1,3,0,1,3,corvette,,metadata,high,Rows before and including matrix header.
Mechanical 1,variant_matrix,2,4,53,3,4,53,corvette,,variant_scoped,high,Primary variant availability matrix.
Mechanical 2,header_or_legend,1,1,3,0,1,3,corvette,,metadata,high,Rows before and including matrix header.
Mechanical 2,variant_matrix,2,4,51,3,4,51,corvette,,variant_scoped,high,Primary variant availability matrix.
Mechanical 3,header_or_legend,1,1,3,0,1,3,corvette,,metadata,high,Rows before and including matrix header.
Mechanical 3,variant_matrix,2,4,49,3,4,49,corvette,,variant_scoped,high,Primary variant availability matrix.
Mechanical 4,header_or_legend,1,1,3,0,1,3,corvette,,metadata,high,Rows before and including matrix header.
Mechanical 4,variant_matrix,2,4,50,3,4,50,corvette,,variant_scoped,high,Primary variant availability matrix.
Color and Trim 1,color_trim_interior_matrix,1,3,14,4,5,14,corvette,,model_global,high,Detected from Decor Level/Seat Type/Seat Code/Seat Trim header aliases.
Color and Trim 1,color_trim_compatibility_matrix,2,14,26,15,16,26,corvette,,model_global,high,Detected from Exterior Solid Paint/Color Code/Touch-Up Paint Number header aliases.
Color and Trim 1,color_trim_disclosure,3,27,27,0,27,27,corvette,,model_global,medium,Detected disclosure/rule note row.
Color and Trim 2,color_trim_interior_matrix,1,3,9,4,5,9,corvette,,model_global,high,Detected from Decor Level/Seat Type/Seat Code/Seat Trim header aliases.
Color and Trim 2,color_trim_compatibility_matrix,2,9,21,10,11,21,corvette,,model_global,high,Detected from Exterior Solid Paint/Color Code/Touch-Up Paint Number header aliases.
Color and Trim 2,color_trim_disclosure,3,22,22,0,22,22,corvette,,model_global,medium,Detected disclosure/rule note row.
