source_sheet,status_context,status_symbol,raw_status_examples,count,canonical_status
Color and Trim 1,color_trim_compatibility,--,--,33,not_available
Color and Trim 1,color_trim_compatibility,A,A,97,available
Color and Trim 2,color_trim_compatibility,--,--,4,not_available
Color and Trim 2,color_trim_compatibility,A,A,36,available
Exterior 1,variant_availability,--,--,51,not_available
Exterior 1,variant_availability,A,A|A1|A2,220,available
Exterior 1,variant_availability,A/D,A/D|A/D1|A/D2,255,available
Exterior 1,variant_availability,S,S|S1,74,standard
Exterior 1,variant_availability,■,■,12,included_equipment_group
Exterior 2,variant_availability,--,--,47,not_available
Exterior 2,variant_availability,A,A|A1|A2,306,available
Exterior 2,variant_availability,A/D,A/D|A/D1,161,available
Exterior 2,variant_availability,S,S|S1|S2,80,standard
Exterior 2,variant_availability,■,■,12,included_equipment_group
Exterior 3,variant_availability,--,--,51,not_available
Exterior 3,variant_availability,A,A|A1|A2,268,available
Exterior 3,variant_availability,A/D,A/D|A/D1,195,available
Exterior 3,variant_availability,S,S|S1|S2,80,standard
Exterior 3,variant_availability,■,■,12,included_equipment_group
Exterior 4,variant_availability,--,--,56,not_available
Exterior 4,variant_availability,A,A|A1,216,available
Exterior 4,variant_availability,A/D,A/D|A/D1|A/D2,168,available
Exterior 4,variant_availability,S,S|S1,116,standard
Exterior 4,variant_availability,■,■,12,included_equipment_group
Interior 1,variant_availability,--,--,93,not_available
Interior 1,variant_availability,A,A|A1|A2|A3,128,available
Interior 1,variant_availability,A/D,A/D|A/D1,79,available
Interior 1,variant_availability,S,S|S1,208,standard
Interior 1,variant_availability,■,■|■1,74,included_equipment_group
Interior 2,variant_availability,--,--,93,not_available
Interior 2,variant_availability,A,A|A1|A2|A3,128,available
Interior 2,variant_availability,A/D,A/D|A/D1,79,available
Interior 2,variant_availability,S,S|S1,208,standard
Interior 2,variant_availability,■,■|■1,74,included_equipment_group
Interior 3,variant_availability,--,--,111,not_available
Interior 3,variant_availability,A,A|A1|A2|A3,132,available
Interior 3,variant_availability,A/D,A/D|A/D1,79,available
Interior 3,variant_availability,S,S|S1,214,standard
Interior 3,variant_availability,■,■|■1,70,included_equipment_group
Interior 4,variant_availability,--,--,156,not_available
Interior 4,variant_availability,A,A|A1|A2,168,available
Interior 4,variant_availability,A/D,A/D|A/D1,108,available
Interior 4,variant_availability,S,S|S1,304,standard
Interior 4,variant_availability,■,■|■1,72,included_equipment_group
Mechanical 1,variant_availability,--,--,18,not_available
Mechanical 1,variant_availability,A,A|A1|A2,168,available
Mechanical 1,variant_availability,A/D,A/D|A/D1,15,available
Mechanical 1,variant_availability,S,S,99,standard
Mechanical 2,variant_availability,--,--,18,not_available
Mechanical 2,variant_availability,A,A|A1|A2,144,available
Mechanical 2,variant_availability,A/D,A/D|A/D1,15,available
Mechanical 2,variant_availability,S,S,111,standard
Mechanical 3,variant_availability,--,--,21,not_available
Mechanical 3,variant_availability,A,A|A1|A2,123,available
Mechanical 3,variant_availability,A/D,A/D|A/D1,18,available
Mechanical 3,variant_availability,S,S,114,standard
Mechanical 4,variant_availability,--,--,52,not_available
Mechanical 4,variant_availability,A,A|A1|A2,140,available
Mechanical 4,variant_availability,A/D,A/D,8,available
Mechanical 4,variant_availability,S,S|S1,176,standard
Standard Equipment 1,variant_availability,--,--,38,not_available
Standard Equipment 1,variant_availability,A,A|A1,41,available
Standard Equipment 1,variant_availability,A/D,A/D1,6,available
Standard Equipment 1,variant_availability,S,S|S1,381,standard
Standard Equipment 1,variant_availability,■,■,8,included_equipment_group
Standard Equipment 2,variant_availability,--,--,38,not_available
Standard Equipment 2,variant_availability,A,A|A1,41,available
Standard Equipment 2,variant_availability,A/D,A/D1,6,available
Standard Equipment 2,variant_availability,S,S|S1|S2,399,standard
Standard Equipment 2,variant_availability,■,■,8,included_equipment_group
Standard Equipment 3,variant_availability,--,--,49,not_available
Standard Equipment 3,variant_availability,A,A|A1,25,available
Standard Equipment 3,variant_availability,A/D,A/D1,6,available
Standard Equipment 3,variant_availability,S,S|S1|S2,408,standard
Standard Equipment 3,variant_availability,■,■,4,included_equipment_group
Standard Equipment 4,variant_availability,--,--,80,not_available
Standard Equipment 4,variant_availability,A,A1,4,available
Standard Equipment 4,variant_availability,S,S|S1,596,standard
