condition_set_id,label,description,active
cs_coupe,Coupe body style,,true
cs_convertible,Convertible body style,,true
cs_selected_b6p,B6P selected,,true
cs_coupe_with_b6p,Coupe with B6P selected,,true
cs_selected_zz3,ZZ3 selected,,true
cs_convertible_with_zz3,Convertible with ZZ3 selected,,true
cs_selected_colored_engine_cover,Any colored LS6 engine cover selected,,true
cs_1lt,1LT trim level,,true
cs_selected_sti,STI selected,,true
cs_selected_tvs,TVS selected,,true
cs_selected_5v7,5V7 selected,,true
cs_selected_eyk,EYK selected,,true
cs_selected_sfz,SFZ selected,,true
cs_selected_5zz,5ZZ selected,,true
cs_selected_5zu,5ZU selected,,true
cs_selected_dpb,DPB selected,,true
cs_selected_dpc,DPC selected,,true
cs_selected_dpg,DPG selected,,true
cs_selected_dpl,DPL selected,,true
cs_selected_dpt,DPT selected,,true
cs_selected_dsy,DSY selected,,true
cs_selected_dsz,DSZ selected,,true
cs_selected_dt0,DT0 selected,,true
cs_selected_dth,DTH selected,,true
cs_selected_dub,DUB selected,,true
cs_selected_due,DUE selected,,true
cs_selected_duk,DUK selected,,true
cs_selected_duw,DUW selected,,true
cs_selected_rin,RIN selected,,true
cs_selected_sl8,SL8 selected,,true
cs_selected_rik,RIK selected,,true
