condition_set_id,or_group,term_order,term_type,left_ref,operator,right_value,negate
cs_coupe,g1,1,context,body_style,eq,coupe,false
cs_convertible,g1,1,context,body_style,eq,convertible,false
cs_selected_b6p,g1,1,selected,opt_b6p_001,is_true,,false
cs_coupe_with_b6p,g1,1,context,body_style,eq,coupe,false
cs_coupe_with_b6p,g1,2,selected,opt_b6p_001,is_true,,false
cs_selected_zz3,g1,1,selected,opt_zz3_001,is_true,,false
cs_convertible_with_zz3,g1,1,context,body_style,eq,convertible,false
cs_convertible_with_zz3,g1,2,selected,opt_zz3_001,is_true,,false
cs_selected_colored_engine_cover,g1,1,selected_any_in_set,set_ls6_engine_covers_colored,is_true,,false
cs_1lt,g1,1,context,trim_level,eq,1LT,false
cs_selected_sti,g1,1,selected,opt_sti_001,is_true,,false
cs_selected_tvs,g1,1,selected,opt_tvs_001,is_true,,false
cs_selected_5v7,g1,1,selected,opt_5v7_001,is_true,,false
cs_selected_eyk,g1,1,selected,opt_eyk_001,is_true,,false
cs_selected_sfz,g1,1,selected,opt_sfz_001,is_true,,false
cs_selected_5zz,g1,1,selected,opt_5zz_001,is_true,,false
